age,employment_status,income,credit_history,savings_account,num_existing_loans,loan_amount,loan_duration_months,debt_ratio,payment_history_score,housing,purpose,creditworthy
61,employed,44205.03,existing paid duly,$1000-$5000,1,15368.7,24,0.155,55.1,own,other,1
33,employed,,all paid duly,,1,20981.45,24,0.189,85.3,own,other,1
51,self-employed,38513.46,existing paid duly,none,4,19252.57,12,0.595,51.4,rent,business,1
27,employed,32696.24,all paid duly,$5000-$10000,3,11907.63,18,0.226,80.1,free,car,1
57,self-employed,61506.96,critical account,> $10000,0,17754.05,48,0.06,28.8,rent,appliances,1
54,self-employed,47775.31,existing paid duly,< $1000,1,15019.92,24,0.129,69.8,rent,other,1
37,employed,42187.49,existing paid duly,none,1,6512.95,6,0.161,99.4,own,car,1
22,employed,54401.9,all paid duly,none,1,5117.95,36,0.029,85.6,free,other,1
68,employed,42762.88,existing paid duly,< $1000,0,10494.62,12,0.216,79.1,rent,other,1
41,employed,40617.5,existing paid duly,$5000-$10000,0,7773.32,24,0.074,58.8,rent,car,1
64,employed,52409.59,all paid duly,$1000-$5000,3,7963.32,24,0.078,86.0,own,furniture,1
53,unemployed,11104.82,delay in past,none,2,4366.49,24,0.163,45.1,own,furniture,0
58,employed,42683.59,existing paid duly,< $1000,2,18681.38,6,0.838,70.5,own,education,1
57,employed,46269.57,existing paid duly,none,1,14960.17,12,0.39,81.7,own,other,1
28,self-employed,37771.42,all paid duly,< $1000,0,6960.77,6,0.291,73.0,own,appliances,1
37,unemployed,6288.85,existing paid duly,< $1000,2,5647.96,18,0.489,62.8,rent,car,0
42,employed,57114.07,delay in past,$1000-$5000,0,2998.69,24,0.031,41.2,own,education,1
44,student,9245.84,critical account,< $1000,1,2828.7,36,0.08,25.9,own,education,0
21,retired,27824.51,no credits,$5000-$10000,0,12696.82,6,0.777,73.1,rent,furniture,1
46,self-employed,57111.55,critical account,none,2,2884.13,12,0.058,28.4,free,business,1
26,self-employed,52840.9,delay in past,$1000-$5000,1,20185.35,36,0.124,77.0,own,business,1
56,employed,55968.49,all paid duly,none,0,5943.13,24,0.066,100.0,own,car,1
53,retired,31854.91,all paid duly,< $1000,2,1103.51,48,0.01,71.8,rent,furniture,1
66,employed,59351.84,all paid duly,$5000-$10000,0,17178.93,12,0.256,87.3,free,other,1
56,retired,23153.47,delay in past,$1000-$5000,0,7667.95,12,0.177,68.7,rent,furniture,0
37,self-employed,77243.27,all paid duly,none,0,7187.83,18,0.041,77.2,own,furniture,1
68,employed,48598.26,existing paid duly,< $1000,0,2813.1,24,0.027,52.1,rent,other,1
39,employed,54959.93,delay in past,$1000-$5000,0,13378.23,24,0.079,81.3,rent,appliances,0
35,self-employed,57134.0,delay in past,> $10000,1,7871.29,6,0.238,62.4,own,business,0
65,self-employed,56495.52,existing paid duly,$1000-$5000,2,18203.23,6,0.468,75.7,own,furniture,1
37,employed,33411.91,delay in past,none,2,14076.76,36,0.073,76.1,rent,business,0
22,unemployed,11209.26,all paid duly,< $1000,1,18541.21,12,1.454,95.9,rent,business,0
42,student,15966.82,delay in past,none,0,12639.94,36,0.268,49.1,own,furniture,0
59,employed,39096.98,all paid duly,none,0,15695.93,12,0.309,64.4,rent,car,1
28,employed,46118.17,all paid duly,$1000-$5000,1,14786.64,18,0.24,73.1,rent,furniture,1
42,employed,37972.27,critical account,$1000-$5000,1,9996.58,12,0.162,56.7,own,education,0
25,unemployed,7462.74,all paid duly,none,1,14625.6,60,0.224,94.3,own,other,0
54,employed,69325.08,all paid duly,$1000-$5000,2,14784.59,6,0.532,78.6,own,business,1
43,student,6115.68,existing paid duly,$1000-$5000,1,662.26,12,0.134,100.0,free,car,1
35,employed,37533.23,all paid duly,$1000-$5000,1,14829.61,48,0.081,,own,furniture,1
30,self-employed,,all paid duly,< $1000,1,5892.72,12,0.213,99.8,rent,education,1
47,employed,33067.62,existing paid duly,< $1000,0,11065.55,12,0.395,74.0,own,furniture,1
53,employed,18092.7,delay in past,none,0,2670.98,12,0.136,84.8,rent,car,0
66,unemployed,10990.18,delay in past,< $1000,0,948.94,36,0.017,63.6,free,other,0
41,employed,89095.23,all paid duly,< $1000,0,794.83,18,0.01,82.8,free,other,1
27,employed,39224.81,existing paid duly,< $1000,4,4301.75,48,0.017,66.8,rent,other,1
61,retired,9999.23,delay in past,none,0,887.9,36,0.033,49.7,own,furniture,0
51,retired,31560.0,all paid duly,none,1,3235.84,24,0.05,68.9,own,appliances,1
54,student,5964.61,all paid duly,$5000-$10000,3,13114.47,12,1.5,57.4,own,business,0
23,employed,65464.71,no credits,$1000-$5000,1,8720.59,36,0.028,75.6,rent,education,1
34,self-employed,46867.07,existing paid duly,< $1000,0,19624.59,48,0.063,60.4,own,car,1
58,student,6230.92,all paid duly,> $10000,0,16269.54,48,0.712,72.3,own,car,1
61,employed,42197.17,delay in past,< $1000,0,3362.13,6,0.193,48.4,own,car,1
41,employed,56934.98,critical account,< $1000,1,9058.76,36,0.049,35.9,rent,other,0
60,student,7363.22,all paid duly,$5000-$10000,0,8903.93,36,0.45,82.1,own,business,1
61,employed,37176.59,existing paid duly,< $1000,2,8317.4,60,0.032,100.0,own,other,1
38,self-employed,48381.26,all paid duly,< $1000,1,10672.2,12,0.214,93.9,rent,education,1
64,retired,13316.42,no credits,< $1000,1,14240.68,36,0.303,100.0,own,car,0
33,self-employed,59225.98,delay in past,< $1000,1,13647.22,36,0.044,42.1,rent,education,0
31,employed,16859.06,existing paid duly,$1000-$5000,1,7836.61,48,0.103,84.1,rent,car,1
53,employed,38005.09,critical account,< $1000,1,14960.81,36,0.154,28.1,rent,other,0
51,employed,56960.32,existing paid duly,< $1000,0,6144.97,48,0.015,59.9,own,car,1
26,employed,49773.01,all paid duly,< $1000,2,18470.79,18,0.218,100.0,own,car,1
61,unemployed,10859.51,existing paid duly,< $1000,0,19305.25,12,1.5,56.2,rent,education,0
29,student,7817.87,all paid duly,,2,6872.1,18,0.662,41.8,own,appliances,1
60,employed,63423.5,delay in past,$5000-$10000,0,15801.43,48,0.056,37.3,rent,education,0
19,employed,59564.01,existing paid duly,$1000-$5000,1,17179.89,12,0.184,33.9,free,car,0
59,student,9249.19,all paid duly,< $1000,0,10069.89,24,0.641,64.9,own,business,1
59,employed,59608.85,existing paid duly,$1000-$5000,1,2321.63,60,0.01,54.5,rent,car,1
58,employed,56819.17,existing paid duly,none,2,17413.6,48,0.055,70.6,own,education,1
52,employed,38078.45,delay in past,< $1000,3,9712.7,36,0.051,,own,business,0
43,self-employed,27541.04,no credits,< $1000,0,4557.39,36,0.048,91.5,own,car,1
54,employed,51620.7,no credits,< $1000,0,12719.68,12,0.247,36.2,rent,furniture,1
33,self-employed,61938.82,all paid duly,$1000-$5000,1,9471.31,24,0.089,79.7,free,car,1
58,employed,62174.93,existing paid duly,> $10000,0,2207.66,24,0.015,64.2,own,furniture,1
47,self-employed,34958.95,existing paid duly,< $1000,1,20665.74,36,0.251,84.9,rent,business,1
42,employed,30723.71,all paid duly,< $1000,3,6061.54,12,0.193,88.3,own,furniture,1
44,employed,52243.43,existing paid duly,$1000-$5000,2,11510.2,12,0.217,91.4,own,car,1
48,employed,43879.12,existing paid duly,< $1000,2,14863.33,36,0.072,63.5,rent,business,1
20,employed,15299.25,all paid duly,none,0,2744.24,24,0.058,73.6,rent,business,1
26,employed,50907.95,critical account,> $10000,1,15664.42,48,0.074,42.4,rent,appliances,0
31,employed,15824.34,existing paid duly,$5000-$10000,2,14455.8,24,0.491,88.5,free,appliances,1
24,employed,30112.21,existing paid duly,> $10000,1,10634.59,48,0.059,84.9,own,education,1
41,employed,66288.98,existing paid duly,none,0,10802.43,24,0.072,75.8,own,furniture,1
53,retired,39328.98,all paid duly,none,4,22942.2,36,0.153,86.2,own,education,1
52,employed,25853.41,delay in past,< $1000,1,19175.63,36,0.21,49.3,rent,appliances,1
43,student,7077.7,existing paid duly,> $10000,0,2683.67,12,0.257,77.4,own,education,1
62,retired,24358.03,existing paid duly,none,1,8075.2,18,0.135,100.0,own,other,1
47,employed,73054.32,critical account,none,1,11105.9,48,0.029,30.6,rent,business,0
23,self-employed,43029.79,delay in past,none,3,21205.46,12,0.589,43.4,own,furniture,0
58,student,6664.72,delay in past,$1000-$5000,2,18065.28,36,1.032,42.1,rent,appliances,0
48,self-employed,80186.81,all paid duly,$1000-$5000,1,8438.23,12,0.061,89.0,free,car,1
51,employed,39097.07,all paid duly,$1000-$5000,2,19559.21,36,0.095,43.8,own,other,1
47,employed,56374.68,existing paid duly,none,1,8267.78,12,0.131,67.6,own,furniture,1
47,employed,21735.0,existing paid duly,$1000-$5000,1,6077.68,24,0.101,85.9,free,business,1
23,employed,42303.08,existing paid duly,< $1000,2,13632.2,24,0.187,60.5,rent,business,1
47,retired,10059.39,delay in past,none,0,7440.08,12,0.657,53.4,own,car,0
59,retired,15134.36,all paid duly,< $1000,0,12636.95,24,0.493,100.0,rent,business,1
34,employed,58217.42,all paid duly,< $1000,1,8913.28,48,0.022,88.0,own,furniture,1
49,unemployed,8842.8,existing paid duly,< $1000,2,17619.25,36,0.846,29.7,rent,furniture,0
20,employed,39974.08,all paid duly,> $10000,0,19109.06,60,0.106,56.6,rent,car,1
36,retired,17710.5,existing paid duly,< $1000,1,6059.58,36,0.124,65.5,own,appliances,1
41,employed,41524.67,delay in past,< $1000,1,10967.46,24,0.165,35.5,rent,appliances,1
69,retired,26529.35,existing paid duly,$1000-$5000,1,15357.75,24,0.254,71.9,own,car,1
29,student,10752.17,delay in past,$1000-$5000,0,3591.12,60,0.041,44.7,rent,appliances,0
33,employed,4000.0,existing paid duly,none,1,16821.18,24,1.5,91.0,rent,other,1
39,employed,31899.76,delay in past,$1000-$5000,0,11867.95,18,0.286,30.4,free,car,0
69,student,8445.47,all paid duly,< $1000,1,3590.94,48,0.126,78.3,own,other,1
62,employed,43442.91,delay in past,< $1000,0,17430.48,60,0.071,53.9,own,car,0
20,employed,51353.18,delay in past,$1000-$5000,0,8820.67,24,0.093,56.1,own,appliances,1
30,retired,26247.34,all paid duly,$1000-$5000,0,3944.08,12,0.105,84.6,own,education,1
60,self-employed,46451.4,existing paid duly,< $1000,1,4525.74,24,0.033,26.6,own,other,1
21,employed,36702.06,delay in past,none,2,17399.11,36,0.153,51.5,rent,furniture,0
62,employed,41133.35,all paid duly,< $1000,1,19683.79,18,0.267,79.3,own,furniture,1
33,employed,63092.69,delay in past,< $1000,0,7875.87,36,0.026,65.6,free,appliances,1
65,retired,17851.13,critical account,$5000-$10000,0,2037.15,24,0.063,48.0,own,business,1
33,employed,44010.79,delay in past,< $1000,1,2589.35,18,0.036,54.3,own,education,0
41,employed,47887.64,existing paid duly,$5000-$10000,2,14588.56,24,0.14,75.6,rent,business,1
52,employed,69575.53,existing paid duly,< $1000,0,7729.66,18,0.048,94.3,own,business,1
25,retired,21477.41,critical account,$5000-$10000,0,8809.56,36,0.095,55.7,rent,car,0
47,employed,,existing paid duly,none,1,7426.05,6,0.26,75.0,rent,car,1
44,student,11449.54,all paid duly,< $1000,2,10535.8,48,0.272,100.0,rent,car,1
58,unemployed,8799.17,no credits,none,0,13049.21,18,0.634,58.7,rent,car,0
69,student,7409.99,delay in past,none,0,11052.21,60,0.342,28.7,rent,appliances,0
52,retired,21235.95,existing paid duly,$5000-$10000,1,3887.84,36,0.069,69.8,free,furniture,1
39,student,7283.7,all paid duly,$1000-$5000,5,12600.16,12,1.5,75.3,own,education,0
39,retired,31175.61,all paid duly,$1000-$5000,1,9956.05,60,0.062,37.6,own,car,1
40,employed,48638.41,delay in past,< $1000,1,11698.97,24,0.094,38.3,rent,appliances,1
60,unemployed,,existing paid duly,$1000-$5000,1,2790.97,24,0.16,76.2,own,car,1
35,employed,27277.73,delay in past,$1000-$5000,1,3668.47,48,0.03,49.0,own,car,1
27,employed,29762.03,delay in past,$5000-$10000,1,11381.75,48,0.065,36.0,rent,appliances,1
36,retired,42004.95,critical account,$1000-$5000,1,6164.53,36,0.04,35.8,own,car,0
20,retired,22506.26,critical account,$1000-$5000,0,12766.12,60,0.098,37.2,own,appliances,0
24,unemployed,6559.47,all paid duly,< $1000,1,8157.08,18,0.748,94.9,rent,furniture,0
23,employed,67539.81,existing paid duly,> $10000,1,5044.54,12,0.091,58.5,own,appliances,1
58,employed,49438.48,no credits,none,2,14629.67,6,0.49,85.7,own,car,1
55,employed,54105.94,critical account,< $1000,0,8181.2,18,0.073,15.4,rent,furniture,0
54,employed,42825.76,all paid duly,$5000-$10000,1,3752.12,24,0.056,72.9,rent,education,1
42,employed,39980.9,existing paid duly,none,3,18712.54,18,0.216,100.0,rent,business,1
55,employed,42329.01,delay in past,none,1,9365.26,24,0.056,31.6,own,appliances,0
27,employed,23221.87,all paid duly,< $1000,1,19261.07,6,1.5,70.1,own,car,1
64,unemployed,8723.03,delay in past,< $1000,1,4484.88,18,0.433,27.4,rent,business,0
44,employed,49662.52,no credits,> $10000,0,17588.83,36,0.123,55.1,own,car,1
66,retired,39543.89,existing paid duly,$5000-$10000,0,16410.24,12,0.343,72.5,free,appliances,1
26,self-employed,53565.18,existing paid duly,< $1000,2,2778.99,36,0.016,82.7,rent,other,1
44,employed,8236.71,existing paid duly,> $10000,1,11411.17,36,0.537,69.7,own,car,1
54,employed,43519.73,existing paid duly,$1000-$5000,4,15896.18,24,0.221,64.2,rent,car,1
44,employed,88147.19,critical account,$5000-$10000,0,10161.9,48,0.017,12.6,free,appliances,1
41,retired,31277.48,all paid duly,< $1000,2,8921.14,60,0.068,68.9,rent,other,1
27,employed,32228.5,existing paid duly,< $1000,1,19850.17,6,1.224,42.2,rent,business,1
38,employed,54309.93,delay in past,none,0,14166.01,36,0.046,63.3,own,education,0
31,retired,17767.09,delay in past,none,0,19334.46,12,0.638,64.5,rent,appliances,0
34,retired,12628.02,no credits,$1000-$5000,2,18701.64,18,0.529,69.3,rent,furniture,1
53,employed,39513.18,critical account,none,2,18077.47,24,0.288,42.9,rent,other,0
51,employed,46441.54,no credits,< $1000,1,15382.32,36,0.093,85.8,own,appliances,1
49,employed,15513.55,existing paid duly,$1000-$5000,1,13753.47,48,0.238,71.8,free,other,1
37,employed,26900.74,existing paid duly,none,1,18683.5,36,0.116,95.1,own,appliances,1
67,employed,45162.79,delay in past,< $1000,0,12461.49,36,0.104,31.6,own,other,1
23,self-employed,44571.25,all paid duly,$1000-$5000,1,2066.53,24,0.021,75.7,own,car,1
36,retired,27316.41,all paid duly,$5000-$10000,1,12452.99,12,0.565,73.6,own,other,1
25,employed,25868.97,delay in past,< $1000,0,2505.29,6,0.177,61.7,own,car,1
36,self-employed,64996.87,all paid duly,> $10000,1,19961.94,24,0.174,56.2,own,furniture,1
68,employed,26355.79,existing paid duly,$5000-$10000,1,13765.55,36,0.175,96.1,own,furniture,1
37,student,12599.66,delay in past,$1000-$5000,3,13035.37,12,0.947,60.1,own,car,0
65,self-employed,20773.2,existing paid duly,,1,4575.39,18,0.185,100.0,own,furniture,1
44,student,4940.85,all paid duly,$1000-$5000,0,10557.46,12,1.5,81.3,own,education,1
54,retired,27505.91,all paid duly,$5000-$10000,0,7179.35,24,0.158,72.1,own,car,1
42,employed,71211.67,critical account,< $1000,0,13670.03,18,0.068,46.8,own,furniture,1
32,employed,49961.93,existing paid duly,> $10000,1,12900.29,12,0.265,88.6,own,furniture,1
57,employed,53865.01,no credits,$5000-$10000,1,10748.31,6,0.49,57.1,rent,business,1
68,employed,45276.21,all paid duly,< $1000,1,5699.87,18,0.102,46.0,own,education,1
32,retired,15378.25,all paid duly,$1000-$5000,1,11289.59,24,0.326,49.1,rent,business,1
58,employed,37280.32,critical account,< $1000,4,11403.71,60,0.054,39.7,own,appliances,0
32,unemployed,5182.48,all paid duly,$1000-$5000,2,18809.65,12,1.5,100.0,own,business,0
55,employed,24860.32,no credits,$5000-$10000,1,18836.56,24,0.291,,own,car,1
59,employed,51327.55,existing paid duly,none,2,16835.89,24,0.205,65.1,own,education,1
41,employed,27309.95,no credits,none,0,6732.98,24,0.086,63.7,rent,education,1
56,self-employed,57815.88,all paid duly,< $1000,0,1242.75,18,0.01,100.0,rent,car,1
32,self-employed,28306.83,critical account,$5000-$10000,2,20398.46,6,1.5,75.7,rent,other,0
23,employed,49668.03,delay in past,< $1000,2,21828.66,60,0.072,57.6,own,car,0
23,employed,37303.25,no credits,$5000-$10000,2,3274.6,60,0.014,86.2,own,other,1
41,unemployed,13430.84,existing paid duly,< $1000,0,13869.51,18,0.52,85.7,free,car,0
65,employed,50098.57,all paid duly,< $1000,1,9229.88,24,0.118,59.0,own,business,1
25,retired,34380.58,all paid duly,$5000-$10000,1,3565.96,6,0.199,94.6,own,furniture,1
42,employed,33098.56,existing paid duly,$1000-$5000,0,19962.98,6,1.5,51.6,own,other,1
54,employed,45884.26,existing paid duly,< $1000,1,19632.86,6,0.663,66.9,free,appliances,1
29,employed,29547.88,delay in past,none,2,21626.96,36,0.203,70.5,free,car,0
55,employed,38485.72,critical account,none,0,3305.98,12,0.057,36.5,own,car,0
34,employed,40871.86,all paid duly,none,1,10597.15,12,0.219,100.0,own,education,1
60,employed,33567.73,critical account,< $1000,1,18865.98,6,0.618,58.4,rent,car,0
48,retired,13789.78,existing paid duly,$1000-$5000,0,13665.59,6,0.991,38.4,own,car,1
46,employed,22737.1,all paid duly,< $1000,0,8974.74,18,0.227,42.8,own,other,1
28,employed,8148.97,delay in past,none,0,10575.54,24,0.711,70.9,own,business,0
42,employed,28362.54,no credits,< $1000,1,1315.37,24,0.02,91.6,own,car,1
62,employed,54883.03,existing paid duly,< $1000,1,13045.81,24,0.109,74.6,own,education,1
19,self-employed,22907.33,delay in past,> $10000,1,18127.68,24,0.339,57.1,rent,car,1
57,employed,23452.07,all paid duly,< $1000,2,609.92,36,0.01,98.1,rent,appliances,1
44,self-employed,84594.35,delay in past,none,1,3800.28,12,0.05,65.7,rent,car,1
55,employed,34975.19,all paid duly,$1000-$5000,1,11130.85,12,0.364,76.5,own,furniture,1
52,retired,26696.79,delay in past,$5000-$10000,2,12582.68,48,0.138,67.2,own,car,0
41,employed,55116.5,no credits,$1000-$5000,0,7195.37,36,0.029,63.8,rent,other,1
34,retired,29565.22,all paid duly,$5000-$10000,2,1149.19,24,0.017,86.4,own,car,1
50,employed,21023.55,existing paid duly,$5000-$10000,1,15750.21,12,0.872,73.6,own,business,1
26,employed,41360.81,delay in past,,0,5237.04,12,0.159,34.5,own,education,1
48,student,4000.0,all paid duly,> $10000,1,13722.72,6,1.5,68.6,own,appliances,1
23,self-employed,96522.99,delay in past,none,3,13113.87,48,0.03,90.2,own,car,0
52,unemployed,4000.0,all paid duly,$5000-$10000,1,9346.41,24,1.295,65.9,own,appliances,0
51,employed,28496.52,existing paid duly,$5000-$10000,0,12010.65,6,1.09,76.7,rent,other,1
23,self-employed,33061.06,existing paid duly,$5000-$10000,5,17566.57,12,0.447,80.4,own,car,1
57,student,4000.0,all paid duly,< $1000,2,12824.64,12,1.5,,rent,car,1
40,self-employed,76617.21,critical account,$1000-$5000,0,11371.75,12,0.173,47.1,rent,other,0
59,employed,83153.55,existing paid duly,none,2,9903.87,24,0.064,75.9,own,furniture,1
21,self-employed,43341.37,existing paid duly,$1000-$5000,3,10218.52,18,0.097,54.3,rent,appliances,1
28,self-employed,27968.3,existing paid duly,< $1000,1,10577.53,48,0.072,79.7,free,appliances,1
44,retired,5209.83,existing paid duly,$1000-$5000,0,9315.52,36,0.561,60.2,own,furniture,1
28,employed,41155.29,existing paid duly,$1000-$5000,0,9060.98,48,0.06,100.0,rent,car,1
35,employed,40017.24,critical account,< $1000,0,4602.22,48,0.032,42.7,rent,furniture,0
52,student,6176.37,existing paid duly,none,0,14634.34,60,0.295,57.4,rent,education,1
26,employed,48486.66,existing paid duly,< $1000,1,3247.2,60,0.01,76.2,own,education,1
53,unemployed,10244.8,existing paid duly,$1000-$5000,0,18219.85,18,1.297,53.4,own,business,0
24,employed,,existing paid duly,$1000-$5000,3,14587.18,12,0.173,74.6,own,education,1
27,employed,40021.03,existing paid duly,$1000-$5000,0,1453.56,12,0.033,65.9,own,appliances,1
48,unemployed,5529.89,existing paid duly,none,3,15353.05,24,1.298,55.1,own,car,0
59,employed,55486.87,existing paid duly,$5000-$10000,1,7927.0,36,0.037,54.9,rent,furniture,1
27,employed,45197.09,delay in past,$1000-$5000,2,20493.46,6,1.031,93.8,own,car,0
34,self-employed,68168.11,critical account,none,0,18753.47,48,0.037,36.6,own,car,0
66,unemployed,11488.74,critical account,< $1000,0,16995.6,36,0.553,27.2,own,furniture,0
69,retired,12057.2,delay in past,< $1000,0,11573.05,24,0.488,39.1,own,other,0
48,employed,22411.0,existing paid duly,,1,19345.16,18,0.521,78.5,rent,furniture,1
41,employed,33100.23,delay in past,none,0,13171.26,12,0.476,38.5,rent,car,0
36,retired,15127.37,all paid duly,none,0,17565.02,24,0.384,62.3,own,business,1
50,employed,56895.22,existing paid duly,none,0,3621.04,12,0.073,69.4,own,business,1
49,employed,50533.13,all paid duly,none,2,19944.67,24,0.128,81.3,own,education,1
34,employed,62312.15,no credits,< $1000,4,16081.22,18,0.222,62.5,free,furniture,1
20,employed,51244.67,critical account,$5000-$10000,1,6734.53,12,0.069,19.0,own,furniture,0
26,retired,25752.66,delay in past,< $1000,1,20955.23,18,0.511,43.0,own,car,0
67,unemployed,12779.15,existing paid duly,< $1000,0,13894.24,24,0.345,61.5,own,furniture,0
40,unemployed,10479.64,all paid duly,$1000-$5000,0,18214.11,18,0.956,71.0,own,car,1
43,employed,46072.59,existing paid duly,< $1000,2,669.81,60,0.01,75.0,own,business,1
42,employed,68317.14,existing paid duly,,1,11834.13,6,0.227,100.0,free,other,1
58,employed,46814.1,delay in past,< $1000,1,15114.11,48,0.044,74.0,own,car,1
22,employed,40206.64,critical account,< $1000,0,767.87,6,0.019,70.0,own,car,0
23,employed,31804.28,all paid duly,$1000-$5000,2,16906.9,12,0.571,71.8,own,other,1
33,employed,56072.65,all paid duly,< $1000,2,14523.56,60,0.045,100.0,own,education,1
43,employed,64483.55,all paid duly,< $1000,2,6443.59,36,0.018,86.1,free,business,1
53,self-employed,51079.31,no credits,$1000-$5000,1,14631.15,24,0.179,87.8,rent,other,1
44,unemployed,13119.93,existing paid duly,> $10000,1,3205.2,36,0.084,78.2,free,business,1
41,employed,13972.26,no credits,< $1000,2,18225.6,18,0.618,63.8,rent,business,1
66,employed,44126.61,all paid duly,< $1000,0,17391.39,36,0.112,95.0,rent,furniture,1
27,unemployed,8873.7,all paid duly,< $1000,1,10465.14,12,1.05,90.7,rent,other,1
48,unemployed,6709.97,all paid duly,$1000-$5000,2,11434.63,36,0.542,50.2,own,business,0
46,student,14674.81,delay in past,$1000-$5000,1,8757.06,60,0.141,47.8,rent,car,0
43,employed,43957.47,all paid duly,$1000-$5000,0,7234.01,48,0.04,97.7,rent,education,1
60,student,6858.35,delay in past,none,0,17521.52,36,1.091,55.0,rent,car,0
32,employed,45408.9,all paid duly,< $1000,3,7411.78,36,0.059,90.5,own,education,1
67,employed,13455.68,all paid duly,$5000-$10000,4,10026.69,24,0.481,68.5,rent,car,1
35,employed,33032.08,no credits,< $1000,5,7935.46,18,0.151,74.6,own,business,1
46,employed,60486.03,delay in past,> $10000,3,15301.78,48,0.066,48.3,rent,furniture,1
45,employed,35094.11,all paid duly,< $1000,0,16377.26,24,0.254,78.3,own,education,1
62,employed,31945.22,existing paid duly,< $1000,1,3889.78,18,0.09,57.8,own,business,1
41,unemployed,13125.01,all paid duly,< $1000,4,6560.97,36,0.086,98.5,own,car,0
33,employed,66109.01,critical account,,0,2530.1,6,0.046,41.2,rent,furniture,0
20,employed,53142.6,all paid duly,$5000-$10000,3,4167.13,48,0.013,86.4,rent,education,1
37,employed,37831.9,existing paid duly,none,2,9277.61,48,0.044,100.0,own,education,1
61,employed,41228.33,delay in past,$1000-$5000,1,16411.07,12,0.487,58.5,own,other,0
19,employed,32334.64,all paid duly,$1000-$5000,0,11061.55,6,0.737,100.0,own,furniture,1
64,employed,29332.32,all paid duly,$5000-$10000,0,1538.89,36,0.011,86.9,own,education,1
46,employed,28550.44,delay in past,$1000-$5000,0,12689.19,12,0.374,43.6,own,other,0
26,unemployed,7053.13,all paid duly,,1,16808.85,60,0.33,62.9,rent,business,1
